,0
1035,0.742
1036,0.726
1037,0.722
1038,0.738
1039,0.734
1040,0.744
1041,0.694
1042,0.744
1043,0.728
1044,0.728
1045,0.734
1046,0.73
1047,0.71
1048,0.712
1049,0.728
1050,0.726
1051,0.736
1052,0.71
1053,0.716
1054,0.744
1055,0.732
1056,0.722
1057,0.72
1058,0.748
1059,0.712
1060,0.718
1061,0.742
1062,0.716
1063,0.72
1064,0.744
1065,0.73
1066,0.73
1067,0.732
1068,0.74
1069,0.724
1070,0.736
1071,0.732
1072,0.744
1073,0.734
1074,0.712
1075,0.734
1076,0.726
1077,0.722
1078,0.71
1079,0.706
1080,0.73
1081,0.722
1082,0.724
1083,0.744
1084,0.754
1085,0.74
1086,0.722
1087,0.712
1088,0.718
1089,0.742
1090,0.756
1091,0.726
1092,0.77
1093,0.744
1094,0.718
1095,0.726
1096,0.746
1097,0.716
1098,0.724
1099,0.738
1100,0.738
1101,0.756
1102,0.742
1103,0.738
1104,0.71
1105,0.714
1106,0.73
1107,0.738
1108,0.744
1109,0.704
1110,0.732
1111,0.722
1112,0.742
1113,0.74
1114,0.72
1115,0.742
1116,0.714
1117,0.732
1118,0.742
1119,0.726
1120,0.706
1121,0.74
1122,0.748
1123,0.744
1124,0.71
1125,0.72
1126,0.72
1127,0.748
1128,0.736
1129,0.728
1130,0.73
1131,0.752
1132,0.748
1133,0.732
1134,0.724
1135,0.734
1136,0.73
1137,0.726
1138,0.718
1139,0.722
1140,0.738
1141,0.762
1142,0.744
1143,0.738
1144,0.706
1145,0.722
1146,0.716
1147,0.754
1148,0.742
1149,0.706
1150,0.768
1151,0.73
1152,0.712
1153,0.738
1154,0.736
1155,0.732
1156,0.714
1157,0.738
1158,0.746
1159,0.73
1160,0.734
1161,0.728
1162,0.716
1163,0.73
1164,0.738
1165,0.726
1166,0.728
1167,0.72
1168,0.736
1169,0.72
1170,0.738
1171,0.746
1172,0.744
1173,0.764
1174,0.728
1175,0.732
1176,0.726
1177,0.726
1178,0.738
1179,0.74
1180,0.752
1181,0.712
1182,0.74
1183,0.712
1184,0.734
1185,0.73
1186,0.738
1187,0.748
1188,0.718
1189,0.73
1190,0.73
1191,0.732
1192,0.73
1193,0.722
1194,0.736
1195,0.726
1196,0.746
1197,0.726
1198,0.708
1199,0.732
1200,0.724
1201,0.748
1202,0.724
1203,0.734
1204,0.704
1205,0.734
1206,0.708
1207,0.72
1208,0.72
1209,0.728
1210,0.722
1211,0.724
1212,0.73
1213,0.716
1214,0.732
1215,0.722
1216,0.712
1217,0.762
1218,0.72
1219,0.726
1220,0.744
1221,0.74
1222,0.728
1223,0.744
1224,0.734
1225,0.754
1226,0.738
1227,0.72
1228,0.728
1229,0.736
1230,0.736
1231,0.728
1232,0.724
1233,0.74
1234,0.744
1235,0.746
1236,0.714
1237,0.754
1238,0.748
1239,0.752
1240,0.714
1241,0.712
1242,0.732
1243,0.712
1244,0.742
1245,0.732
1246,0.716
1247,0.738
1248,0.714
1249,0.734
1250,0.73
1251,0.724
1252,0.738
1253,0.732
1254,0.746
1255,0.712
1256,0.726
1257,0.718
1258,0.758
1259,0.72
1260,0.732
1261,0.718
1262,0.742
1263,0.738
1264,0.72
1265,0.714
1266,0.744
1267,0.736
1268,0.732
1269,0.716
1270,0.738
1271,0.728
1272,0.75
1273,0.744
1274,0.74
1275,0.744
1276,0.736
1277,0.748
1278,0.74
1279,0.742
1280,0.73
1281,0.72
1282,0.742
1283,0.738
1284,0.72
1285,0.742
1286,0.714
1287,0.708
1288,0.748
1289,0.73
1290,0.712
1291,0.736
1292,0.746
1293,0.728
1294,0.726
1295,0.72
1296,0.732
1297,0.734
1298,0.716
1299,0.752
1300,0.724
1301,0.714
1302,0.706
1303,0.744
1304,0.74
1305,0.72
1306,0.75
1307,0.718
1308,0.75
1309,0.726
1310,0.728
1311,0.724
1312,0.716
1313,0.716
1314,0.746
1315,0.752
1316,0.75
1317,0.754
1318,0.746
1319,0.746
1320,0.764
1321,0.724
1322,0.734
1323,0.746
1324,0.728
1325,0.73
1326,0.734
1327,0.738
1328,0.732
1329,0.738
1330,0.742
1331,0.714
1332,0.742
1333,0.738
1334,0.752
1335,0.732
1336,0.73
1337,0.728
1338,0.736
1339,0.732
1340,0.736
1341,0.764
1342,0.748
1343,0.748
1344,0.728
1345,0.746
1346,0.722
1347,0.74
1348,0.732
1349,0.736
1350,0.758
1351,0.738
1352,0.724
1353,0.752
1354,0.756
1355,0.746
1356,0.752
1357,0.736
1358,0.746
1359,0.746
1360,0.764
1361,0.768
1362,0.764
1363,0.742
1364,0.756
1365,0.742
1366,0.748
1367,0.746
1368,0.754
1369,0.75
1370,0.728
1371,0.726
1372,0.74
1373,0.73
1374,0.738
1375,0.746
1376,0.734
1377,0.752
1378,0.762
1379,0.716
1380,0.74
1381,0.746
1382,0.74
1383,0.734
1384,0.748
1385,0.738
1386,0.758
1387,0.736
1388,0.738
1389,0.752
1390,0.73
1391,0.738
1392,0.75
1393,0.766
1394,0.736
1395,0.754
1396,0.748
1397,0.752
1398,0.742
1399,0.732
1400,0.748
1401,0.758
1402,0.75
1403,0.746
1404,0.754
1405,0.748
1406,0.746
1407,0.748
1408,0.742
1409,0.742
1410,0.758
1411,0.752
1412,0.738
1413,0.744
1414,0.744
1415,0.75
1416,0.74
1417,0.75
1418,0.748
1419,0.764
1420,0.746
1421,0.73
1422,0.736
1423,0.748
1424,0.758
1425,0.766
1426,0.746
1427,0.764
1428,0.748
1429,0.73
1430,0.73
1431,0.728
1432,0.736
1433,0.752
1434,0.754
1435,0.758
1436,0.758
1437,0.734
1438,0.754
1439,0.744
1440,0.742
1441,0.774
1442,0.754
1443,0.762
1444,0.752
1445,0.748
1446,0.746
1447,0.77
1448,0.74
1449,0.754
1450,0.768
1451,0.776
1452,0.766
1453,0.758
1454,0.752
1455,0.752
1456,0.76
1457,0.762
1458,0.758
1459,0.752
1460,0.762
1461,0.754
1462,0.75
1463,0.75
1464,0.75
1465,0.748
1466,0.744
1467,0.758
1468,0.724
1469,0.758
1470,0.758
1471,0.766
1472,0.746
1473,0.754
1474,0.764
1475,0.732
1476,0.758
1477,0.748
1478,0.756
1479,0.756
1480,0.736
1481,0.764
1482,0.768
1483,0.748
1484,0.742
1485,0.746
1486,0.75
1487,0.734
1488,0.762
1489,0.768
1490,0.776
1491,0.758
1492,0.752
1493,0.752
1494,0.766
1495,0.752
1496,0.74
1497,0.74
1498,0.716
1499,0.772
1500,0.746
1501,0.76
1502,0.75
1503,0.744
1504,0.754
1505,0.756
1506,0.758
1507,0.746
1508,0.744
1509,0.774
1510,0.756
1511,0.75
1512,0.764
1513,0.764
1514,0.744
1515,0.764
1516,0.756
1517,0.758
1518,0.758
1519,0.752
1520,0.752
1521,0.748
1522,0.732
1523,0.752
1524,0.782
1525,0.758
1526,0.75
1527,0.768
1528,0.746
1529,0.778
1530,0.744
1531,0.76
1532,0.752
1533,0.75
1534,0.754
1535,0.766
1536,0.744
1537,0.756
1538,0.758
1539,0.764
1540,0.752
1541,0.762
1542,0.762
1543,0.762
1544,0.772
1545,0.75
1546,0.746
1547,0.752
1548,0.73
1549,0.756
1550,0.742
1551,0.738
1552,0.772
1553,0.75
1554,0.754
1555,0.738
1556,0.752
1557,0.744
1558,0.758
1559,0.752
1560,0.732
1561,0.764
1562,0.748
1563,0.77
1564,0.752
1565,0.756
1566,0.772
1567,0.736
1568,0.764
1569,0.75
1570,0.736
1571,0.732
1572,0.756
1573,0.734
1574,0.734
1575,0.79
1576,0.76
1577,0.76
1578,0.758
1579,0.738
1580,0.74
1581,0.768
1582,0.77
1583,0.772
1584,0.746
1585,0.784
1586,0.756
1587,0.756
1588,0.758
1589,0.762
1590,0.754
1591,0.746
1592,0.754
1593,0.75
1594,0.77
1595,0.764
1596,0.74
1597,0.758
1598,0.754
1599,0.744
1600,0.75
1601,0.756
1602,0.768
1603,0.742
1604,0.756
1605,0.764
1606,0.744
1607,0.736
1608,0.738
1609,0.756
1610,0.746
1611,0.738
1612,0.768
1613,0.746
1614,0.768
1615,0.758
1616,0.744
1617,0.746
1618,0.756
1619,0.772
1620,0.772
1621,0.738
1622,0.752
1623,0.772
1624,0.758
1625,0.758
1626,0.76
1627,0.782
1628,0.738
1629,0.778
1630,0.744
1631,0.762
1632,0.748
1633,0.776
1634,0.746
1635,0.752
1636,0.754
1637,0.75
1638,0.756
1639,0.756
1640,0.754
1641,0.742
1642,0.768
1643,0.754
1644,0.75
1645,0.742
1646,0.76
1647,0.756
1648,0.742
1649,0.75
1650,0.76
1651,0.746
1652,0.768
1653,0.776
1654,0.748
1655,0.764
1656,0.76
1657,0.756
1658,0.76
1659,0.742
1660,0.764
1661,0.748
1662,0.77
1663,0.768
1664,0.768
1665,0.738
1666,0.768
1667,0.732
1668,0.754
1669,0.768
1670,0.732
1671,0.758
1672,0.752
1673,0.768
1674,0.778
1675,0.75
1676,0.748
1677,0.754
1678,0.736
1679,0.772
1680,0.782
1681,0.74
1682,0.764
1683,0.774
1684,0.764
1685,0.77
1686,0.728
1687,0.75
1688,0.756
1689,0.776
1690,0.774
1691,0.766
1692,0.75
1693,0.742
1694,0.776
1695,0.78
1696,0.742
1697,0.75
1698,0.762
1699,0.766
1700,0.75
1701,0.75
1702,0.746
1703,0.778
1704,0.744
1705,0.756
1706,0.766
1707,0.752
1708,0.738
1709,0.754
1710,0.752
1711,0.744
1712,0.75
1713,0.734
1714,0.732
1715,0.762
1716,0.758
1717,0.746
1718,0.75
1719,0.746
1720,0.784
1721,0.752
1722,0.722
1723,0.744
1724,0.772
1725,0.77
1726,0.756
1727,0.736
1728,0.76
1729,0.754
1730,0.744
1731,0.762
1732,0.754
1733,0.76
1734,0.75
1735,0.73
1736,0.746
1737,0.762
1738,0.744
1739,0.728
1740,0.76
1741,0.736
1742,0.766
1743,0.74
1744,0.744
1745,0.752
1746,0.74
1747,0.756
1748,0.746
1749,0.748
1750,0.744
1751,0.73
1752,0.776
1753,0.772
1754,0.728
1755,0.78
1756,0.76
1757,0.774
1758,0.762
1759,0.764
1760,0.756
1761,0.768
1762,0.76
1763,0.786
1764,0.776
1765,0.758
1766,0.764
1767,0.766
1768,0.766
1769,0.756
1770,0.76
1771,0.77
1772,0.754
1773,0.77
1774,0.768
1775,0.75
1776,0.758
1777,0.762
1778,0.756
1779,0.752
1780,0.762
1781,0.768
1782,0.776
1783,0.758
1784,0.774
1785,0.76
1786,0.778
1787,0.762
1788,0.78
1789,0.754
1790,0.758
1791,0.746
1792,0.744
1793,0.74
1794,0.75
1795,0.744
1796,0.754
1797,0.754
1798,0.756
1799,0.718
1800,0.764
1801,0.736
1802,0.744
1803,0.77
1804,0.762
1805,0.768
1806,0.744
1807,0.766
1808,0.776
1809,0.782
1810,0.746
1811,0.762
1812,0.782
1813,0.77
1814,0.74
1815,0.768
1816,0.756
1817,0.796
1818,0.772
1819,0.75
1820,0.738
1821,0.764
1822,0.77
1823,0.78
1824,0.748
1825,0.76
1826,0.752
1827,0.77
1828,0.774
1829,0.766
1830,0.762
1831,0.758
1832,0.778
1833,0.772
1834,0.776
1835,0.784
1836,0.764
1837,0.762
1838,0.774
1839,0.752
1840,0.756
1841,0.752
1842,0.762
1843,0.75
1844,0.784
1845,0.77
1846,0.76
1847,0.77
1848,0.768
1849,0.754
1850,0.762
1851,0.746
1852,0.774
1853,0.782
