,rank,rank_mass,auc,model
211,0.6666666666666666,0.7679736,0.6466666666666667,iter_11
212,0.6333333333333333,0.7623928,0.64,iter_11
213,0.7,0.7792029,0.7050000000000001,iter_11
214,0.7333333333333333,0.7892457,0.7300000000000001,iter_11
215,0.7,0.74899983,0.6900000000000001,iter_11
216,0.7,0.7681923,0.7216666666666667,iter_11
217,0.6333333333333333,0.7129029,0.5883333333333334,iter_11
218,0.6666666666666666,0.75153315,0.6699999999999999,iter_11
219,0.7333333333333333,0.74597466,0.6833333333333333,iter_11
220,0.6333333333333333,0.8142245,0.6900000000000001,iter_11
221,0.7333333333333333,0.7939045,0.7383333333333333,iter_11
222,0.7,0.78615844,0.7066666666666668,iter_11
223,0.7666666666666667,0.81639457,0.7916666666666667,iter_11
224,0.6,0.700582,0.5883333333333334,iter_11
225,0.7333333333333333,0.73573244,0.6933333333333334,iter_11
226,0.6666666666666666,0.75951934,0.6466666666666666,iter_11
227,0.7333333333333333,0.7943815,0.74,iter_11
228,0.8,0.85428,0.7983333333333333,iter_11
229,0.7,0.82104164,0.7066666666666667,iter_11
230,0.6666666666666666,0.8126181,0.7516666666666667,iter_11
231,0.5666666666666667,0.7164934,0.5483333333333333,iter_11
232,0.6666666666666666,0.75426185,0.6866666666666668,iter_11
233,0.6,0.7234384,0.5733333333333335,iter_11
234,0.6333333333333333,0.7814329,0.625,iter_11
235,0.8333333333333334,0.8255634,0.7933333333333333,iter_11
236,0.7333333333333333,0.81482744,0.7233333333333334,iter_11
237,0.7,0.7598411,0.7483333333333333,iter_11
238,0.8,0.88945955,0.84,iter_11
239,0.7333333333333333,0.8065697,0.7483333333333333,iter_11
240,0.6666666666666666,0.79480207,0.695,iter_11
241,0.8,0.83344287,0.7966666666666667,iter_11
242,0.6333333333333333,0.7878934,0.6983333333333334,iter_11
243,0.7666666666666667,0.8179731,0.7616666666666667,iter_11
244,0.7666666666666667,0.8099471,0.7550000000000001,iter_11
245,0.7666666666666667,0.745379,0.7133333333333334,iter_11
246,0.7333333333333333,0.82297266,0.7766666666666666,iter_11
247,0.8333333333333334,0.89739364,0.8733333333333333,iter_11
248,0.6666666666666666,0.76295257,0.6583333333333332,iter_11
249,0.6666666666666666,0.78098017,0.6816666666666666,iter_11
250,0.7666666666666667,0.8119762,0.7616666666666667,iter_11
251,0.7333333333333333,0.80594265,0.7233333333333334,iter_11
252,0.6666666666666666,0.75806785,0.6599999999999999,iter_11
253,0.7333333333333333,0.82170534,0.7683333333333332,iter_11
254,0.6666666666666666,0.75701386,0.6950000000000001,iter_11
255,0.7333333333333333,0.8234608,0.7566666666666666,iter_11
256,0.6,0.71377057,0.5533333333333333,iter_11
257,0.7333333333333333,0.80727655,0.7983333333333332,iter_11
258,0.7333333333333333,0.7850964,0.73,iter_11
259,0.7666666666666667,0.7808061,0.7283333333333333,iter_11
260,0.6666666666666666,0.78511536,0.67,iter_11
261,0.8,0.8487798,0.8550000000000001,iter_11
262,0.7,0.8222151,0.7083333333333333,iter_11
263,0.6666666666666666,0.82929033,0.7516666666666666,iter_11
264,0.7,0.8049291,0.6799999999999998,iter_11
265,0.7,0.79815173,0.7350000000000001,iter_11
266,0.7,0.7507056,0.6716666666666666,iter_11
267,0.6666666666666666,0.7847487,0.6566666666666666,iter_11
268,0.7333333333333333,0.82726884,0.7766666666666667,iter_11
269,0.7,0.7756498,0.6633333333333333,iter_11
270,0.7,0.7396172,0.7283333333333333,iter_11
271,0.7666666666666667,0.81962687,0.7816666666666667,iter_11
272,0.7,0.82530993,0.7016666666666667,iter_11
273,0.6666666666666666,0.83325624,0.705,iter_11
274,0.7333333333333333,0.8012313,0.7416666666666667,iter_11
275,0.6666666666666666,0.76501536,0.655,iter_11
276,0.6333333333333333,0.7562151,0.6499999999999999,iter_11
277,0.7666666666666667,0.8470668,0.7533333333333334,iter_11
278,0.7333333333333333,0.77395296,0.68,iter_11
279,0.5666666666666667,0.66207266,0.525,iter_11
280,0.7333333333333333,0.86241317,0.82,iter_11
281,0.7333333333333333,0.87238073,0.7633333333333333,iter_11
282,0.6333333333333333,0.77735066,0.6616666666666666,iter_11
283,0.7,0.74811476,0.7016666666666667,iter_11
284,0.7666666666666667,0.8011687,0.74,iter_11
285,0.6666666666666666,0.7935418,0.6633333333333333,iter_11
286,0.6,0.71584463,0.56,iter_11
287,0.6333333333333333,0.75710887,0.62,iter_11
288,0.6333333333333333,0.77616876,0.6566666666666666,iter_11
289,0.7,0.79242027,0.6733333333333333,iter_11
290,0.7333333333333333,0.7678643,0.69,iter_11
291,0.7,0.81196004,0.7466666666666666,iter_11
292,0.7333333333333333,0.80084616,0.7650000000000001,iter_11
293,0.6666666666666666,0.80101573,0.6783333333333333,iter_11
294,0.6666666666666666,0.80131406,0.705,iter_11
295,0.6,0.71593124,0.635,iter_11
296,0.7666666666666667,0.7994439,0.7799999999999999,iter_11
297,0.7,0.8028967,0.7216666666666667,iter_11
298,0.7,0.7845853,0.6599999999999999,iter_11
299,0.7333333333333333,0.7666225,0.6849999999999999,iter_11
300,0.6333333333333333,0.62143844,0.5716666666666667,iter_11
301,0.6333333333333333,0.61242795,0.53,iter_11
302,0.6333333333333333,0.6246134,0.4766666666666666,iter_11
303,0.6666666666666666,0.6939495,0.5966666666666668,iter_11
304,0.5666666666666667,0.55313414,0.4383333333333333,iter_11
305,0.5666666666666667,0.5711304,0.4716666666666667,iter_11
306,0.5,0.46108925,0.3466666666666666,iter_11
307,0.6333333333333333,0.6579171,0.5566666666666666,iter_11
308,0.6,0.552109,0.4983333333333333,iter_11
309,0.5666666666666667,0.5631874,0.4683333333333333,iter_11
310,0.6666666666666666,0.6334187,0.5733333333333334,iter_11
311,0.6666666666666666,0.67522115,0.5983333333333334,iter_11
312,0.6333333333333333,0.72298396,0.6133333333333333,iter_11
313,0.6,0.54519993,0.41833333333333333,iter_11
314,0.6333333333333333,0.5783704,0.48166666666666663,iter_11
315,0.6666666666666666,0.67160994,0.5983333333333334,iter_11
316,0.6333333333333333,0.5486513,0.5066666666666667,iter_11
317,0.6333333333333333,0.6365183,0.54,iter_11
318,0.5,0.53513974,0.4216666666666667,iter_11
319,0.5666666666666667,0.52456665,0.3966666666666666,iter_11
320,0.6,0.59163606,0.5366666666666666,iter_11
321,0.6,0.6901,0.555,iter_11
322,0.5666666666666667,0.61454684,0.4783333333333333,iter_11
323,0.6333333333333333,0.61063606,0.48833333333333334,iter_11
324,0.7333333333333333,0.6722868,0.6533333333333333,iter_11
325,0.7333333333333333,0.7573205,0.6866666666666666,iter_11
326,0.6666666666666666,0.6185722,0.5233333333333333,iter_11
327,0.5666666666666667,0.55692244,0.4316666666666667,iter_11
328,0.5666666666666667,0.59982795,0.4583333333333333,iter_11
329,0.6,0.5624672,0.47166666666666673,iter_11
330,0.6,0.5667546,0.4533333333333333,iter_11
331,0.6,0.6041025,0.5333333333333333,iter_11
332,0.5333333333333333,0.58811957,0.43333333333333335,iter_11
333,0.5333333333333333,0.5631873,0.45500000000000007,iter_11
334,0.5666666666666667,0.5693516,0.48166666666666663,iter_11
335,0.6333333333333333,0.6323067,0.57,iter_11
336,0.5666666666666667,0.5199807,0.44499999999999995,iter_11
337,0.6333333333333333,0.5982453,0.5316666666666667,iter_11
338,0.5666666666666667,0.6361992,0.4833333333333333,iter_11
339,0.5666666666666667,0.5235519,0.4533333333333333,iter_11
340,0.7,0.63822263,0.5766666666666667,iter_11
341,0.5333333333333333,0.6376975,0.45333333333333337,iter_11
342,0.6,0.65017986,0.5783333333333334,iter_11
343,0.5666666666666667,0.55635065,0.43499999999999994,iter_11
344,0.6333333333333333,0.67168486,0.5950000000000001,iter_11
345,0.6666666666666666,0.69336283,0.6283333333333333,iter_11
346,0.6333333333333333,0.57192254,0.5033333333333333,iter_11
347,0.6333333333333333,0.646437,0.55,iter_11
348,0.6666666666666666,0.68776447,0.5933333333333333,iter_11
